code,n,threads,speedup1,efficiency1,speedup2,efficiency2,bandwidth
OBf,512,1,1.000000000,100.000000000,1.000000000,100.000000000,5330909029.024786949
OBf,512,2,2.028779015,101.438950763,2.004581597,100.229079869,10686242136.871078491
OBf,512,4,3.296566961,82.414174028,2.478364599,61.959114974,13211936217.833925247
OBf,512,8,4.790228113,59.877851414,3.677254610,45.965682628,19603109803.934482574
OBf,512,16,5.401596715,33.759979470,4.819655424,30.122846399,25693144615.758502960
OBf,512,32,5.006847153,15.646397352,6.020155106,18.812984707,32092899212.229545593
OBf,512,64,0.015062921,0.023535814,0.078485267,0.122633230,418397820.839569271
O,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,850712605.485603809
O,1024,2,0.256794730,12.839736477,1.839600349,91.980017433,1564971205.660434008
O,1024,4,0.189748841,4.743721033,3.872710433,96.817760830,3294563582.924730778
O,1024,8,0.110250010,1.378125128,8.292844179,103.660552242,7054827078.743359566
O,1024,16,0.046437205,0.290232532,13.365525314,83.534533211,11370220863.378681183
O,1024,32,0.031340465,0.097938953,21.419994217,66.937481929,18222259090.031608582
O,1024,64,0.020472745,0.031988664,0.761240775,1.189438711,647597123.269476414
OR,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,966350732.471234560
OR,1024,2,0.966012545,48.300627246,1.946703950,97.335197486,1881198787.723628283
OR,1024,4,0.927995476,23.199886892,3.723781078,93.094526958,3598478572.602435112
OR,1024,8,0.934939984,11.686749795,7.053162836,88.164535444,6815829072.350899696
OR,1024,16,0.919654696,5.747841848,12.690131921,79.313324503,12263118276.545246124
OR,1024,32,0.823693310,2.574041594,20.801894088,65.005919024,20101925588.279071808
OR,1024,64,0.199069949,0.311046796,1.606266336,2.509791151,1552216650.819814920
OB,1024,1,1.000000000,100.000000000,1.000000000,100.000000000,1660734105.989127159
OB,1024,2,1.335664853,66.783242668,2.000816511,100.040825528,3322824218.911797523
OB,1024,4,2.221458619,55.536465480,3.628376265,90.709406622,6025768212.416958809
OB,1024,8,4.150441898,51.880523729,4.328271294,54.103391171,7188107757.339140892
OB,1024,16,8.061487759,50.384298491,6.725577302,42.034858138,11169395607.898687363
